name,description,action_name,fn_name,action_type,action_paramname,action_default,action_constraintmin,action_constraintmax,action_constraintunit,action_constraintvalue,action_paramtype,action_control,propertyname,propertytype
LED,LED lamp,On,on,Active,Brightness,100,0,100,PERCENT,,DOUBLE,SLIDER,,
,,Off,off,Inactive,,,,,,,,,,
Buzzer,A kind of speaker that can control frequency of sound,Beep,beep,Active,,,,,,,,,,
Piezo,A kind of speaker that can control frequency of sound,Play,play,Active,Tone Frequency,2000,0,10000,HERTZ,,INTEGER,SPINBOX,,
,,,,,Duration,2,0,1000,SECOND,,INTEGER,SPINBOX,,
,,Beep,beep,Active,Tone Frequency,2000,0,10000,HERTZ,,INTEGER,SPINBOX,,
7 Segment,A screen that can display number and some alphabet,Show Value,showValue,Active,Value,,,,,,VALUE,DROPDOWN,,
,,Show Data,showData,Inactive,Data,1000,0,9999,NUMBER,,INTEGER,SPINBOX,,
,,Off,off,Inactive,,,,,,,,,,
DC Motor,A motor. It can drive a wheel.,On,on,Active,Direction,Forward,,,,Forward,ENUM,DROPDOWN,,
,,,,,,,,,,Backward,,,,
,,,,,Speed,100,0,100,PERCENT,,DOUBLE,SLIDER,,
,,Off,off,Inactive,,,,,,,,,,
Servo,A motor that can control direction,Move To,moveto,Active,Degree,90,0,180,DEGREE,,INTEGER,SPINBOX,,
RGB LED,This is a color LED,On,on,Active,Red,255,0,255,NOT_SPECIFIED,,DOUBLE,SLIDER,,
,,,,,Green,255,0,255,NOT_SPECIFIED,,DOUBLE,SLIDER,,
,,,,,Blue,255,0,255,NOT_SPECIFIED,,DOUBLE,SLIDER,,
,,,,,Brightness,100,0,100,NOT_SPECIFIED,,DOUBLE,SLIDER,,
,,Off,off,Inactive,,,,,,,,,,
Relay Module,This is a relay module. It can act as a digital switch for high voltage.,On,on,Active,,,,,,,,,,
,,Off,off,Active,,,,,,,,,,
Load Driver,This is a load driver. It can act as a digital switch for high voltage.,On,on,Active,,,,,,,,,,
,,Off,off,Active,,,,,,,,,,
