name,lib_name,lib_path,device_id
MP_General,MP_Delay,MP_Delay.h,
MP_Amplifier,MP_PAM8302A,MP_PAM8302A.h,DEV_1
MP_Sound,MP_MAX4466,MP_MAX4466.h,DEV_2
MP_Baro,MP_BME280,MP_BME280.h,DEV_3
MP_Humidity,MP_Si7021,MP_Si7021.h,DEV_4
MP_LCD,MP_LCD16X2,MP_LCD16X2.h,DEV_5
MP_LED,MP_GeneralLed,MP_GeneralLed.h,DEV_6
MP_Gyro,MP_L3GD20,MP_L3GD20.h,DEV_7
MP_Temp,MP_TMP007,MP_TMP007.h,DEV_8
MP_Mag,MP_LSM303,MP_LSM303.h,DEV_9
MP_Accel,MP_LSM9DS1,MP_LSM9DS1.h,DEV_10
MP_Button,MP_GenericButton,MP_GenericButton.h,DEV_11
MP_DCMotor,MP_Adafruit_Motor_Shield_V2,MP_Adafruit_Motor_Shield_V2.h,DEV_12
